nombre,intervencion,n_control,n_intervencion,media_control,media_intervencion,de_control,de_intervencion
Akbari Sene 2019,4 g myo-Inositol c/24h por 1 mes,25,25,26.2,25.26,4.52,5.2
Kachhawa 2021,1.1 g myo-Inositol + 300 mg D-chiro-Inositol c/24h por 6 meses,33,33,25.31,25.11,3.9,3.64
Khan 2022,1.1 g myo-Inositol + 27.6 mg D-chiro-Inositol c/24h por 6 meses + ácido fólico 400 mcg,53,53,28,28,4,4.8
Le Donne 2019,4 g myo-Inositol c/24h por 6 meses + dieta + ácido fólico 400 mcg,21,10,28.6,29,3.7,4.4
Le Donne 2019,1.1 g myo-Inositol + 27.6 mg D-chiro-Inositol c/24h por 6 meses + dieta + ácido fólico 400 mcg,21,12,28.6,28.2,3.7,5.4
#Mendoza 2019,1.1 g myo-Inositol + 27.6 mg D-chiro-Inositol c/24h por 12 semanas,30,30,
#Mendoza 2019,1.1 g myo-Inositol + 300 mg D-chiro-Inositol c/24h por 12 semanas,30,30,
Nordio 2019,4 g de Inositol en formulacion 0:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,23.48,23.48,3,2.9
Nordio 2019,4 g de Inositol en formulacion 1:3.5 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,24.52,25.12,2.8,3.3
Nordio 2019,4 g de Inositol en formulacion 2.5:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,7,7,22.87,23.35,2.9,3.1
Nordio 2019,4 g de Inositol en formulacion 5:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,24.12,24.01,2.7,2.9
Nordio 2019,4 g de Inositol en formulacion 20:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,23.21,23.61,3.1,3.0
Nordio 2019,4 g de Inositol en formulacion 40:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,24.08,23.91,3.0,2.9
Nordio 2019,4 g de Inositol en formulacion 80:1 myo-Inositol:D-chiro-Inositol c/24h por 3 meses,8,8,22.98,23.11,2.9,3.1

